title,authors,subjects,category,rating,ratings_count,price,year,source,rating_numeric,ratings_count_numeric,content
The Sympathizer,"Viet Thanh Nguyen, Francois Chau","Communists | Soldiers | Vietnam War, 1961-1975 | Fiction | Fiction, war & military | Vietnam war, 1961-1975, fiction | Vietnam, fiction | Fiction, historical, general | Fiction, thrillers, espionage | Fiction, historical",fiction,4.1,20,Not Available,2015,Open Library API,4.1,20.0,"The Sympathizer Viet Thanh Nguyen, Francois Chau Communists | Soldiers | Vietnam War, 1961-1975 | Fiction | Fiction, war & military | Vietnam war, 1961-1975, fiction | Vietnam, fiction | Fiction, historical, general | Fiction, thrillers, espionage | Fiction, historical fiction"
Collected Fictions,Jorge Luis Borges,"Fiction (fictional works by one author) | Borges, jorge luis, 1899-1986 | Latin american literature, translations into english | Translations into English | Short stories",fiction,4.3333335,3,Not Available,1998,Open Library API,4.3333335,3.0,"Collected Fictions Jorge Luis Borges Fiction (fictional works by one author) | Borges, jorge luis, 1899-1986 | Latin american literature, translations into english | Translations into English | Short stories fiction"
Foundation,Isaac Asimov,"Psychohistory | Open Library Staff Picks | Life on other planets | Fiction | Science Fiction | Long Now Manual for Civilization | Prophecy | Historians | Robots | Fiction, science fiction, general",fiction,4.1070232,299,Not Available,1951,Open Library API,4.1070232,299.0,"Foundation Isaac Asimov Psychohistory | Open Library Staff Picks | Life on other planets | Fiction | Science Fiction | Long Now Manual for Civilization | Prophecy | Historians | Robots | Fiction, science fiction, general fiction"
The Overstory,"Richard Powers, Richard Powers","trees | forest | conservation | environment | activism | Forest conservation | Fiction | Forests and forestry | American fiction (fictional works by one author) | Fiction, political",fiction,4.185185,27,Not Available,2018,Open Library API,4.185185,27.0,"The Overstory Richard Powers, Richard Powers trees | forest | conservation | environment | activism | Forest conservation | Fiction | Forests and forestry | American fiction (fictional works by one author) | Fiction, political fiction"
How to Write Best-Selling Fiction,Dean Koontz,Authorship | Fiction,fiction,5.0,2,Not Available,1981,Open Library API,5.0,2.0,How to Write Best-Selling Fiction Dean Koontz Authorship | Fiction fiction
What if?,"Anne Bernays, Pamela Painter","Problems, exercises | Rhetoric | Creative writing | Technique | English language | Fiction | Textbooks | Authorship | English language, rhetoric | Fiction, technique",fiction,,,Not Available,1990,Open Library API,,,"What if? Anne Bernays, Pamela Painter Problems, exercises | Rhetoric | Creative writing | Technique | English language | Fiction | Textbooks | Authorship | English language, rhetoric | Fiction, technique fiction"
Funhouse,"Diane Hoh, Karyn O'Bryant","Mystery and detective stories | Children's poetry, American | Juvenile Riddles | Folk poetry | Riddles | American poetry | Stars | Juvenile poetry | Hens | Chicks",fiction,3.0,3,Not Available,1990,Open Library API,3.0,3.0,"Funhouse Diane Hoh, Karyn O'Bryant Mystery and detective stories | Children's poetry, American | Juvenile Riddles | Folk poetry | Riddles | American poetry | Stars | Juvenile poetry | Hens | Chicks fiction"
Fragile Things,Neil Gaiman,"Mystery | Short stories | Fiction | Fiction, fantasy, short stories | Fiction, horror | English Short stories | English Fantasy fiction | English Horror tales | New York Times reviewed | Fiction, fantasy, collections & anthologies",fiction,3.75,8,Not Available,2006,Open Library API,3.75,8.0,"Fragile Things Neil Gaiman Mystery | Short stories | Fiction | Fiction, fantasy, short stories | Fiction, horror | English Short stories | English Fantasy fiction | English Horror tales | New York Times reviewed | Fiction, fantasy, collections & anthologies fiction"
The Power,Naomi Alderman,Rol sexual | Fuerza muscular | Ability | Mujeres | Muchachas adolescentes | Ficcion | Fiction | Women | Sex role | Grandes potencias,fiction,3.775,40,Not Available,1998,Open Library API,3.775,40.0,The Power Naomi Alderman Rol sexual | Fuerza muscular | Ability | Mujeres | Muchachas adolescentes | Ficcion | Fiction | Women | Sex role | Grandes potencias fiction
The craft of fiction,"Percy Lubbock, Percy, Lubbock, Percy Lubbock","Fiction | Technique | History and criticism | Romantheorie | Roman | Erzahltechnik | Fiction, history and criticism | Fiction, technique | Accounting",fiction,,,Not Available,1921,Open Library API,,,"The craft of fiction Percy Lubbock, Percy, Lubbock, Percy Lubbock Fiction | Technique | History and criticism | Romantheorie | Roman | Erzahltechnik | Fiction, history and criticism | Fiction, technique | Accounting fiction"
Gold,Isaac Asimov,"American Science fiction | Authorship | Fiction | History and criticism | Science fiction | Theory | Fiction, science fiction, short stories | Science fiction, authorship | Science fiction, history and criticism | English fiction",fiction,3.0,3,Not Available,1995,Open Library API,3.0,3.0,"Gold Isaac Asimov American Science fiction | Authorship | Fiction | History and criticism | Science fiction | Theory | Fiction, science fiction, short stories | Science fiction, authorship | Science fiction, history and criticism | English fiction fiction"
Leviathan,Paul Auster,"Fiction, science fiction, general | Littérature américaine | Traductions françaises | Roman américain | Fiction, mystery & detective, general | American literature",fiction,3.3333333,6,Not Available,1992,Open Library API,3.3333333,6.0,"Leviathan Paul Auster Fiction, science fiction, general | Littérature américaine | Traductions françaises | Roman américain | Fiction, mystery & detective, general | American literature fiction"
Azadi,Arundhati Roy,"Asia, history | Intellectual life | Hindutva | Civilization | Politics and government | Social conditions | Intégrisme hindou | Civilisation | Conditions sociales | HISTORY / Asia / India & South Asia",fiction,5.0,2,Not Available,2020,Open Library API,5.0,2.0,"Azadi Arundhati Roy Asia, history | Intellectual life | Hindutva | Civilization | Politics and government | Social conditions | Intégrisme hindou | Civilisation | Conditions sociales | HISTORY / Asia / India & South Asia fiction"
The Foundation Trilogy,Isaac Asimov,"American Science fiction | Fiction | Psychohistory | Science fiction | Life on other planets | Prophecies | Fiction, science fiction, general | Abenteuer | Science-Fiction-Literatur | Weltraum",fiction,4.203125,64,Not Available,1950,Open Library API,4.203125,64.0,"The Foundation Trilogy Isaac Asimov American Science fiction | Fiction | Psychohistory | Science fiction | Life on other planets | Prophecies | Fiction, science fiction, general | Abenteuer | Science-Fiction-Literatur | Weltraum fiction"
Frenzied fiction,Stephen Leacock,"Canadian Humorous stories | Satire and humour, Canadian (English), CIHM | Satire et humeur canadiennes-anglaises, ICMH | Fiction, humorous, general | Canadian wit and humor | Fiction, short stories (single author) | Fiction, historical, general",fiction,5.0,1,Not Available,1917,Open Library API,5.0,1.0,"Frenzied fiction Stephen Leacock Canadian Humorous stories | Satire and humour, Canadian (English), CIHM | Satire et humeur canadiennes-anglaises, ICMH | Fiction, humorous, general | Canadian wit and humor | Fiction, short stories (single author) | Fiction, historical, general fiction"
El tesoro di Rapa Nui,Elisabetta Dami,"Juvenile fiction | Mice | Children's fiction | Buried treasure, fiction | Stilton, geronimo (fictitious character), fiction | Mice, fiction | Humorous stories",fiction,4.8125,16,Not Available,2004,Open Library API,4.8125,16.0,"El tesoro di Rapa Nui Elisabetta Dami Juvenile fiction | Mice | Children's fiction | Buried treasure, fiction | Stilton, geronimo (fictitious character), fiction | Mice, fiction | Humorous stories fiction"
Children's fiction in the hands of the translators,"Göte Klingberg, Otto Klinberg",Books and reading | Translating and interpreting | History and criticism | Translations | Children's literature | Children,fiction,5.0,1,Not Available,1986,Open Library API,5.0,1.0,"Children's fiction in the hands of the translators Göte Klingberg, Otto Klinberg Books and reading | Translating and interpreting | History and criticism | Translations | Children's literature | Children fiction"
100 Great Science Fiction Short Short Stories,"Isaac Asimov, Martin H. Greenberg, Joseph D. Olander, Cyril M. Kornbluth, Larry Niven, Charles E. Fritch, Bill Pronzini, George R. R. Martin, Jerome Bixby, Ambrose Bierce, Edward D. Hoch, Alexei Panshin, Martin Gardner, Steven Utley, Gregory Benford, Richard Wilson, Robert Sheckley, Roger Zelazny, Damon Knight, Reginald Bretnor, Frederik Pohl, Laurence M. Janifer, James Blish, Joanna Russ, Ray Russell, Edward Wellen, Donald E. Westlake, Ben Bova, Barry N. Malzberg, Fred Saberhagen, Fritz Leiber, Karen Anderson, Bob Shaw, William F. Nolan, Henry Slesar, Dannie Plachta, Edward Rager, Hayford Peirce, Jeffrey S. Hudson, Walter S. Tevis, James Edward Sutherland, Joe L. Hensley, Duane Ackerson, Stephen Goldin, Robert Emmett Toomey Jr., Alfred Bester, Anthony Boucher, Nelson Slade Bond, F. M. Busby, Maggie Nadler, Grant Carrington, Keith Laumer, E. Michael Blake, James E. Gunn, Paul Dellinger, Lee Killough, Thomas F. Monteleone, Robert T. Kurosaka, James E. Thompson, Robert L. Fish, Bruce McAllister, Paul Bond, Mildred Downey Broxon, Alan Edward Nourse, David Bischoff, Ralph Milne Farley, Daniel A. Darlington, Walt Liebscher, K. W. MacAnn","American Science fiction | English Science fiction | Science fiction | Fiction, short stories (single author)",fiction,4.0,1,Not Available,1978,Open Library API,4.0,1.0,"100 Great Science Fiction Short Short Stories Isaac Asimov, Martin H. Greenberg, Joseph D. Olander, Cyril M. Kornbluth, Larry Niven, Charles E. Fritch, Bill Pronzini, George R. R. Martin, Jerome Bixby, Ambrose Bierce, Edward D. Hoch, Alexei Panshin, Martin Gardner, Steven Utley, Gregory Benford, Richard Wilson, Robert Sheckley, Roger Zelazny, Damon Knight, Reginald Bretnor, Frederik Pohl, Laurence M. Janifer, James Blish, Joanna Russ, Ray Russell, Edward Wellen, Donald E. Westlake, Ben Bova, Barry N. Malzberg, Fred Saberhagen, Fritz Leiber, Karen Anderson, Bob Shaw, William F. Nolan, Henry Slesar, Dannie Plachta, Edward Rager, Hayford Peirce, Jeffrey S. Hudson, Walter S. Tevis, James Edward Sutherland, Joe L. Hensley, Duane Ackerson, Stephen Goldin, Robert Emmett Toomey Jr., Alfred Bester, Anthony Boucher, Nelson Slade Bond, F. M. Busby, Maggie Nadler, Grant Carrington, Keith Laumer, E. Michael Blake, James E. Gunn, Paul Dellinger, Lee Killough, Thomas F. Monteleone, Robert T. Kurosaka, James E. Thompson, Robert L. Fish, Bruce McAllister, Paul Bond, Mildred Downey Broxon, Alan Edward Nourse, David Bischoff, Ralph Milne Farley, Daniel A. Darlington, Walt Liebscher, K. W. MacAnn American Science fiction | English Science fiction | Science fiction | Fiction, short stories (single author) fiction"
Blood Music,Greg Bear,"Fiction | Science Fiction | Holistic nursing | Fiction, science fiction, general | Self-experimentation in medicine",fiction,3.9333334,15,Not Available,1985,Open Library API,3.9333334,15.0,"Blood Music Greg Bear Fiction | Science Fiction | Holistic nursing | Fiction, science fiction, general | Self-experimentation in medicine fiction"
The language of the night,Ursula K. Le Guin,"History and criticism | Fantasy fiction | Science fiction | Fantastic fiction | Science fiction, history and criticism | Fantasy fiction, history and criticism",fiction,4.0,2,Not Available,1979,Open Library API,4.0,2.0,"The language of the night Ursula K. Le Guin History and criticism | Fantasy fiction | Science fiction | Fantastic fiction | Science fiction, history and criticism | Fantasy fiction, history and criticism fiction"
Earthlight,Arthur C. Clarke,"Science fiction | Fiction, science fiction, general | English Science fiction | Fiction",fiction,3.8,5,Not Available,1955,Open Library API,3.8,5.0,"Earthlight Arthur C. Clarke Science fiction | Fiction, science fiction, general | English Science fiction | Fiction fiction"
Nightwings,"Robert Silverberg, Michael Netzer","Fiction in English | Fiction | Science Fiction & Fantasy | Hugo Award Winner | award:hugo_award=1969 | award:hugo_award=novella | Fiction, general | Fiction, science fiction, general | Science fiction | Fiction, romance, science fiction",fiction,4.0,4,Not Available,1969,Open Library API,4.0,4.0,"Nightwings Robert Silverberg, Michael Netzer Fiction in English | Fiction | Science Fiction & Fantasy | Hugo Award Winner | award:hugo_award=1969 | award:hugo_award=novella | Fiction, general | Fiction, science fiction, general | Science fiction | Fiction, romance, science fiction fiction"
Deathworld 1,"Harry Harrison, Christian Rummel","Fiction, science fiction, general | Life on other planets in fiction | Life on other planets | Fiction | American Science fiction | Fiction in English | Science Fiction | Science Fiction & Fantasy",fiction,3.5833333,12,Not Available,1960,Open Library API,3.5833333,12.0,"Deathworld 1 Harry Harrison, Christian Rummel Fiction, science fiction, general | Life on other planets in fiction | Life on other planets | Fiction | American Science fiction | Fiction in English | Science Fiction | Science Fiction & Fantasy fiction"
Galapagos,"Kurt Vonnegut, Kurt Vonnegut, Chaim Tadmon","American Science fiction | Fiction | Ghost stories | Humorous stories | Satire | Science fiction | American fiction (fictional works by one author) | Fiction, historical, general | Galapagos Islands in fiction | Islands",fiction,3.875,24,Not Available,1820,Open Library API,3.875,24.0,"Galapagos Kurt Vonnegut, Kurt Vonnegut, Chaim Tadmon American Science fiction | Fiction | Ghost stories | Humorous stories | Satire | Science fiction | American fiction (fictional works by one author) | Fiction, historical, general | Galapagos Islands in fiction | Islands fiction"
Killer fiction,G. J. Schaefer,"Serial murders | True Crime | Prisoners | Nonfiction | Serial murderers | Biography | Prisoners, biography | Prisoners, united states",fiction,5.0,1,Not Available,1997,Open Library API,5.0,1.0,"Killer fiction G. J. Schaefer Serial murders | True Crime | Prisoners | Nonfiction | Serial murderers | Biography | Prisoners, biography | Prisoners, united states fiction"
Stranger Than Fiction,Chuck Palahniuk,Literary Criticism | Nonfiction | Jews | History | Essays (single author) | Curiosities and wonders | American essays,fiction,3.0,2,Not Available,2004,Open Library API,3.0,2.0,Stranger Than Fiction Chuck Palahniuk Literary Criticism | Nonfiction | Jews | History | Essays (single author) | Curiosities and wonders | American essays fiction
Bagombo Snuff Box,Kurt Vonnegut,"Social life and customs | Fiction | United states, social life and customs, fiction | American fiction (fictional works by one author) | Fiction, short stories (single author)",fiction,3.0,6,Not Available,1999,Open Library API,3.0,6.0,"Bagombo Snuff Box Kurt Vonnegut Social life and customs | Fiction | United states, social life and customs, fiction | American fiction (fictional works by one author) | Fiction, short stories (single author) fiction"
The rhetoric of fiction,Wayne C. Booth,Esthétique | Rhetoric | Technique | Histoire et critique | Fiction | Roman | Narration | History and criticism | Verteltheorie | Técnica,fiction,,,Not Available,1961,Open Library API,,,The rhetoric of fiction Wayne C. Booth Esthétique | Rhetoric | Technique | Histoire et critique | Fiction | Roman | Narration | History and criticism | Verteltheorie | Técnica fiction
Men of Iron,Howard Pyle,Juvenile fiction | History | Knights and knighthood,fiction,,,Not Available,1891,Open Library API,,,Men of Iron Howard Pyle Juvenile fiction | History | Knights and knighthood fiction
The fabulous riverboat,Philip José Farmer,"Fiction in English | Fictionin English | Riverworld (imaginary place), fiction | Fiction, science fiction, general",fiction,3.4545455,11,Not Available,1971,Open Library API,3.4545455,11.0,"The fabulous riverboat Philip José Farmer Fiction in English | Fictionin English | Riverworld (imaginary place), fiction | Fiction, science fiction, general fiction"
Science fiction,Patrick Parrinder,"Science fiction | History and criticism | Science fiction, history and criticism | LITERARY CRITICISM / General | English Science fiction | American Science fiction | Literature and science | Study and teaching | Littérature et sciences",fiction,,,Not Available,1979,Open Library API,,,"Science fiction Patrick Parrinder Science fiction | History and criticism | Science fiction, history and criticism | LITERARY CRITICISM / General | English Science fiction | American Science fiction | Literature and science | Study and teaching | Littérature et sciences fiction"
Excession,Iain Banks,Science fiction | Fiction | Long Now Manual for Civilization,fiction,4.0185184,54,Not Available,1996,Open Library API,4.0185184,54.0,Excession Iain Banks Science fiction | Fiction | Long Now Manual for Civilization fiction
Navigator Fiction and Non Fiction,,English language reading schemes | For National Curriculum Key Stage 2 | English language,fiction,,,Not Available,2002,Open Library API,,,Navigator Fiction and Non Fiction  English language reading schemes | For National Curriculum Key Stage 2 | English language fiction
How to Write Science Fiction & Fantasy,Orson Scott Card,"Authorship | Science fiction | Fantasy literature | Creative writing | Authorship, handbooks, manuals, etc. | Science fiction, technique | Academic Literacy | Reading Level-Adult | Ciencia ficción | Autoría",fiction,4.0,3,Not Available,1990,Open Library API,4.0,3.0,"How to Write Science Fiction & Fantasy Orson Scott Card Authorship | Science fiction | Fantasy literature | Creative writing | Authorship, handbooks, manuals, etc. | Science fiction, technique | Academic Literacy | Reading Level-Adult | Ciencia ficción | Autoría fiction"
Axiomatic,Greg Egan,"Fiction, general | Fiction, science fiction, short stories | Australian Science fiction | Fiction, mystery & detective, general",fiction,4.142857,7,Not Available,1995,Open Library API,4.142857,7.0,"Axiomatic Greg Egan Fiction, general | Fiction, science fiction, short stories | Australian Science fiction | Fiction, mystery & detective, general fiction"
Pulp fiction,Quentin Tarantino,Motion picture plays | Pulp fiction (Motion picture) | Drama | Gangsters | Motion pictures | Murder for hire | Thieves | Boxers (Sports),fiction,,,Not Available,1993,Open Library API,,,Pulp fiction Quentin Tarantino Motion picture plays | Pulp fiction (Motion picture) | Drama | Gangsters | Motion pictures | Murder for hire | Thieves | Boxers (Sports) fiction
"Literature--An Introduction to Fiction, Poetry, Drama and Writing--Eleventh Edition","Kennedy, X. & Gioia, D., Dana Gioia, Chinua Achebe, Margaret Atwood, Jane Austen, Jorge Luis Borges, Anthony Burgess, Albert Camus, Lewis Carroll, Антон Павлович Чехов, Kate Chopin, Ambrose Bierce, Charles Dickens, X. J. Kennedy",freedom | selfhood | self-fulfilment | meaning of love | short story | Fiction | History | Classic Literature | Short Stories | Juvenile audience,fiction,4.5,2,Not Available,2006,Open Library API,4.5,2.0,"Literature--An Introduction to Fiction, Poetry, Drama and Writing--Eleventh Edition Kennedy, X. & Gioia, D., Dana Gioia, Chinua Achebe, Margaret Atwood, Jane Austen, Jorge Luis Borges, Anthony Burgess, Albert Camus, Lewis Carroll, Антон Павлович Чехов, Kate Chopin, Ambrose Bierce, Charles Dickens, X. J. Kennedy freedom | selfhood | self-fulfilment | meaning of love | short story | Fiction | History | Classic Literature | Short Stories | Juvenile audience fiction"
Invisible Planets,Ken Liu,"Short stories, chinese | Science fiction | Speculative fiction, Chinese -- Translations into English | Short stories, Chinese -- Translations into English | China -- Fiction | China | Fiction, science fiction, general | Fiction, science fiction, short stories | Chinese fiction, translations into english | China, fiction",fiction,4.0,4,Not Available,2016,Open Library API,4.0,4.0,"Invisible Planets Ken Liu Short stories, chinese | Science fiction | Speculative fiction, Chinese -- Translations into English | Short stories, Chinese -- Translations into English | China -- Fiction | China | Fiction, science fiction, general | Fiction, science fiction, short stories | Chinese fiction, translations into english | China, fiction fiction"
Fiction Writer's Workshop,Josip Novakovich,"Problems, exercises | Technique | Fiction | Creative writing | Authorship | Authorship, handbooks, manuals, etc. | Fiction, technique | Fiction, authorship",fiction,,,Not Available,1995,Open Library API,,,"Fiction Writer's Workshop Josip Novakovich Problems, exercises | Technique | Fiction | Creative writing | Authorship | Authorship, handbooks, manuals, etc. | Fiction, technique | Fiction, authorship fiction"
How to analyze fiction,W. P. Kenney,Study guides | Examinations | Fiction,fiction,5.0,1,Not Available,1966,Open Library API,5.0,1.0,How to analyze fiction W. P. Kenney Study guides | Examinations | Fiction fiction
Expedition to Earth,Arthur C. Clarke,Breaking Strain | Loophole | Inheritance | Hide-and-Seek | Second Dawn | Exile of the Eons | The Sentinel | Superiority | History Lesson | Expedition to Earth,fiction,3.0,1,Not Available,1953,Open Library API,3.0,1.0,Expedition to Earth Arthur C. Clarke Breaking Strain | Loophole | Inheritance | Hide-and-Seek | Second Dawn | Exile of the Eons | The Sentinel | Superiority | History Lesson | Expedition to Earth fiction
Ringworld,Larry Niven,"Hugo Award Winner | award:hugo_award=1971 | award:hugo_award=novel | Fiction, science fiction, general | Ringworld (imaginary place), fiction | Fiction | Ringworld (Imaginary place) | Science fiction | Long Now Manual for Civilization | American Science fiction",fiction,3.8247423,97,Not Available,1970,Open Library API,3.8247423,97.0,"Ringworld Larry Niven Hugo Award Winner | award:hugo_award=1971 | award:hugo_award=novel | Fiction, science fiction, general | Ringworld (imaginary place), fiction | Fiction | Ringworld (Imaginary place) | Science fiction | Long Now Manual for Civilization | American Science fiction fiction"
Mockingbird,Walter S. Tevis,"End of the world | Fiction | Fiction, general | Fiction in English | American Science fiction | Fiction, science fiction, general",fiction,4.2,5,Not Available,1979,Open Library API,4.2,5.0,"Mockingbird Walter S. Tevis End of the world | Fiction | Fiction, general | Fiction in English | American Science fiction | Fiction, science fiction, general fiction"
Understanding fiction,"Cleanth Brooks, Robert Penn Warren, Ambrose Bierce, Charles Dickens, Антон Павлович Чехов",History and criticism | Short stories | Fiction | History | Classic Literature | Juvenile audience | civil war | hanging | American Civil War | Confederate States of America,fiction,1.0,1,Not Available,1943,Open Library API,1.0,1.0,"Understanding fiction Cleanth Brooks, Robert Penn Warren, Ambrose Bierce, Charles Dickens, Антон Павлович Чехов History and criticism | Short stories | Fiction | History | Classic Literature | Juvenile audience | civil war | hanging | American Civil War | Confederate States of America fiction"
The Wesleyan anthology of science fiction,Arthur B. Evans,American Science fiction | English Science fiction,fiction,5.0,2,Not Available,2010,Open Library API,5.0,2.0,The Wesleyan anthology of science fiction Arthur B. Evans American Science fiction | English Science fiction fiction
Survivor,Octavia E. Butler,"Fiction, general | Fiction, science fiction, general | Science fiction",fiction,,,Not Available,1978,Open Library API,,,"Survivor Octavia E. Butler Fiction, general | Fiction, science fiction, general | Science fiction fiction"
We're All Puppets 2020,Non Fiction,,fiction,,,Not Available,2019,Open Library API,,,We're All Puppets 2020 Non Fiction  fiction
Pricksongs and Descants,Robert Coover,"Fiction, short stories (single author) | Fiction, general | Manners and customs | Fiction",fiction,,,Not Available,1969,Open Library API,,,"Pricksongs and Descants Robert Coover Fiction, short stories (single author) | Fiction, general | Manners and customs | Fiction fiction"
The Norton Anthology of Short Fiction--Shorter Eighth Edition,"Richard Bausch, R. V. Cassill, Margaret Atwood, Ambrose Bierce, Jorge Luis Borges, Антон Павлович Чехов, Kate Chopin",Fiction | History | Classic Literature | Short Stories | Juvenile audience | civil war | hanging | American Civil War | Confederate States of America | Union,fiction,,,Not Available,2015,Open Library API,,,"The Norton Anthology of Short Fiction--Shorter Eighth Edition Richard Bausch, R. V. Cassill, Margaret Atwood, Ambrose Bierce, Jorge Luis Borges, Антон Павлович Чехов, Kate Chopin Fiction | History | Classic Literature | Short Stories | Juvenile audience | civil war | hanging | American Civil War | Confederate States of America | Union fiction"
